Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0201, 1uF, 10V, X5R, 20%","C_0201_0603Metric",-132.685000,82.215000,90.000000,bottom
"C2","0201, 1uF, 10V, X5R, 20%","C_0201_0603Metric",-132.785000,76.700000,90.000000,bottom
"C3","0201, 1uF, 10V, X5R, 20%","C_0201_0603Metric",-132.685000,80.705000,270.000000,bottom
"C4","0201, 100nF, 10V, X5R, 20%","C_0201_0603Metric",-129.575000,77.855000,-0.000000,bottom
"C5","0201, 1uF, 10V, X5R, 20%","C_0201_0603Metric",-128.325000,77.775000,270.000000,bottom
"C7","0201, 100nF, 10V, X5R, 20%","C_0201_0603Metric",-127.625000,77.775000,270.000000,bottom
"C8","0201, 1uF, 10V, X5R, 20%","C_0201_0603Metric",-130.165000,82.195000,270.000000,bottom
"C9","0201, 1uF, 10V, X5R, 20%","C_0201_0603Metric",-130.275000,76.805000,270.000000,bottom
"C10","0201, 1uF, 10V, X5R, 20%","C_0201_0603Metric",-130.165000,80.720000,270.000000,bottom
"C11","0201, 100nF, 10V, X5R, 20%","C_0201_0603Metric",-126.315000,82.655000,180.000000,bottom
"C16","0201, 1uF, 10V, X5R, 20%","C_0201_0603Metric",-132.785000,75.195000,270.000000,bottom
"C17","0201, 1uF, 10V, X5R, 20%","C_0201_0603Metric",-128.325000,79.175000,90.000000,bottom
"C19","0201, 1uF, 10V, X5R, 20%","C_0201_0603Metric",-129.750000,75.150000,270.000000,bottom
"C20","0201, 100nF, 10V, X5R, 20%","C_0201_0603Metric",-127.625000,79.175000,90.000000,bottom
"C21","0201, 100nF, 10V, X5R, 20%","C_0201_0603Metric",-124.125000,80.075000,-0.000000,bottom
"C24","0201, 1uF, 10V, X5R, 20%","C_0201_0603Metric",-124.925000,75.500000,-0.000000,bottom
"C25","0201, 1uF, 10V, X5R, 20%","C_0201_0603Metric",-124.125000,80.775000,-0.000000,bottom
"C28","0201, 100nF, 10V, X5R, 20%","C_0201_0603Metric",-124.925000,76.200000,-0.000000,bottom
"D1","D5V0L1B2LP3-7","X1-DFN1006-2",-123.815000,75.985000,180.000000,bottom
"D2","D5V0L1B2LP3-7","X1-DFN1006-2",-123.525000,77.275000,270.000000,bottom
"D3","D5V0L1B2LP3-7","X1-DFN1006-2",-124.425000,81.375000,-0.000000,bottom
"D4","D5V0L1B2LP3-7","X1-DFN1006-2",-123.175000,79.965000,90.000000,bottom
"D6","D5V0L1B2LP3-7","X1-DFN1006-2",-130.025000,78.605000,270.000000,bottom
"D7","D5V0L1B2LP3-7","X1-DFN1006-2",-131.975000,79.305000,90.000000,bottom
"R1","0201, 10k, 1/16W","R_0201_0603Metric",-132.725000,78.200000,270.000000,bottom
"R5","0201, 10k, 1/16W","R_0201_0603Metric",-124.925000,74.800000,180.000000,bottom
"R9","0201, 1.5k, 1/16W, 1%","R_0201_0603Metric",-130.625000,78.200000,90.000000,bottom
"R11","0201, 22ohm, 1/16W, 1%","R_0201_0603Metric",-132.025000,78.200000,90.000000,bottom
"R12","0201, 22ohm, 1/16W, 1%","R_0201_0603Metric",-131.325000,78.200000,90.000000,bottom
"U1","LDO-X2SON-1.2V","Texas_X2SON-4_1x1mm_P0.65mm",-131.425000,82.200000,180.000000,bottom
"U2","LDO-X2SON-3.3V","Texas_X2SON-4_1x1mm_P0.65mm",-131.525000,76.700000,180.000000,bottom
"U3","LDO-X2SON-2.5V","Texas_X2SON-4_1x1mm_P0.65mm",-131.425000,80.700000,180.000000,bottom
"U4","SPI Flash","SON50P300X200X60-9N",-127.500000,75.475000,180.000000,bottom
"U6","LDO-X2SON-1.2V","Texas_X2SON-4_1x1mm_P0.65mm",-131.525000,75.200000,180.000000,bottom
"U7","Crystal Oscillator","XTAL-2520",-128.375000,81.535000,270.000000,bottom
"U10","RGB-LED","LED-RGB-5DS-UHD1110-FKA",-123.955000,78.520000,90.000000,bottom
