Reference,Value,Footprint,Count,Datasheet,FootprintLib,MPN,MYPN,Manufacturer,Spice_Model,Spice_Netlist_Enabled,Spice_Primitive,DNP,Description,AManufacturer,APN,DPN,AMPN
C10,"0201, 1uF, 10V, X5R, 20%",C_0201_0603Metric,1,,tomu-fpga,ANY,ANY,ANY,1u,Y,C,,,,,,
C9,"0201, 1uF, 10V, X5R, 20%",C_0201_0603Metric,1,,tomu-fpga,ANY,ANY,ANY,1u,Y,C,,,,,,
C8,"0201, 1uF, 10V, X5R, 20%",C_0201_0603Metric,1,,tomu-fpga,ANY,ANY,ANY,1u,Y,C,,,,,,
C3,"0201, 1uF, 10V, X5R, 20%",C_0201_0603Metric,1,,tomu-fpga,ANY,ANY,ANY,1u,Y,C,,,,,,
C1,"0201, 1uF, 10V, X5R, 20%",C_0201_0603Metric,1,,tomu-fpga,ANY,ANY,ANY,1u,Y,C,,,,,,
C2,"0201, 1uF, 10V, X5R, 20%",C_0201_0603Metric,1,,tomu-fpga,ANY,ANY,ANY,1u,Y,C,,,,,,
U9,USB-B,USB-PCB,1,,tomu-fpga,DNP,DNP,DNP,,,,X,PCB-etched USB pads,,,,
U10,RGB-LED,LED-RGB-5DS-UHD1110-FKA,1,https://www.cree.com/led-components/media/documents/ds-UHD1110-FKA.pdf,tomu-fpga,UHD1110-FKA,,Cree,,,,,,Citizen,CL-505S-X-SD-T,N/A,
R12,"0201, 22ohm, 1/16W, 1%",R_0201_0603Metric,1,,tomu-fpga,ANY,ANY,ANY,22,Y,R,,,,,,
R11,"0201, 22ohm, 1/16W, 1%",R_0201_0603Metric,1,,tomu-fpga,ANY,ANY,ANY,22,Y,R,,,,,,
R9,"0201, 1.5k, 1/16W, 1%",R_0201_0603Metric,1,,tomu-fpga,ANY,ANY,ANY,1.5k,Y,R,,,,,,
C4,"0201, 100nF, 10V, X5R, 20%",C_0201_0603Metric,1,,tomu-fpga,ANY,ANY,ANY,100n,Y,C,,,,,,
SW2,Captouch Pads,captouch-edge,1,,tomu-fpga,DNP,DNP,DNP,,,,X,PCB-etched captouch pads,,,,
R1,"0201, 10k, 1/16W",R_0201_0603Metric,1,,tomu-fpga,ANY,ANY,ANY,10k,Y,R,,,,,,
R5,"0201, 10k, 1/16W",R_0201_0603Metric,1,,tomu-fpga,ANY,ANY,ANY,10k,Y,R,,,,,,
C21,"0201, 100nF, 10V, X5R, 20%",C_0201_0603Metric,1,,tomu-fpga,ANY,ANY,ANY,100n,Y,C,,,,,,
C24,"0201, 1uF, 10V, X5R, 20%",C_0201_0603Metric,1,,tomu-fpga,ANY,ANY,ANY,1u,Y,C,,,,,,
C28,"0201, 100nF, 10V, X5R, 20%",C_0201_0603Metric,1,,tomu-fpga,ANY,ANY,ANY,100n,Y,C,,,,,,
C5,"0201, 1uF, 10V, X5R, 20%",C_0201_0603Metric,1,,tomu-fpga,ANY,ANY,ANY,1u,Y,C,,,,,,
C7,"0201, 100nF, 10V, X5R, 20%",C_0201_0603Metric,1,,tomu-fpga,ANY,ANY,ANY,100n,Y,C,,,,,,
C22,"0402, 10uF, 6.3V, X5R, 20%",C_0402_1005Metric,1,,tomu-fpga,ANY,ANY,ANY,1u,Y,C,,,,,,
