Reference,Value,Footprint,Count,Datasheet,FootprintLib,AMPN,AManufacturer,DPN,Description,MPN,Manufacturer,MYPN,DNP,APN
U2,LDO-SOT23-3.3V,SOT-23-5_HandSoldering,1,http://www.ti.com/lit/ds/symlink/lp5907.pdf,tomu-fpga,MIC5504-3.3YMT,Microchip,296-38557-1-ND, IC REG LINEAR 3.3V 250MA SOT23-5,LP5907MFX-3.3/NOPB,TI,,,
U3,LDO-SOT23-2.5V,SOT-23-5_HandSoldering,1,http://www.ti.com/lit/ds/symlink/lp5907.pdf,tomu-fpga,MIC5504-2.5YMT,Microchip,296-40356-1-ND,IC REG LINEAR 2.5V 250MA SOT23-5,LP5907MFX-2.5/NOPB,TI,,,
U1,LDO-SOT23-1.2V,SOT-23-5_HandSoldering,1,http://www.ti.com/lit/ds/symlink/lp5907.pdf,tomu-fpga,MIC5504-1.2YMT,Microchip,296-39062-1-ND,IC REG LINEAR 1.2V 250MA SOT23-5,LP5907MFX-1.2/NOPB,TI,,,
C10,"0805, 1uF, 10V, X5R, 20%",C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,,tomu-fpga,,,,,ANY,ANY,ANY,,
C9,"0805, 1uF, 10V, X5R, 20%",C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,,tomu-fpga,,,,,ANY,ANY,ANY,,
C8,"0805, 1uF, 10V, X5R, 20%",C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,,tomu-fpga,,,,,ANY,ANY,ANY,,
C3,"0805, 1uF, 10V, X5R, 20%",C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,,tomu-fpga,,,,,ANY,ANY,ANY,,
C1,"0805, 1uF, 10V, X5R, 20%",C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,,tomu-fpga,,,,,ANY,ANY,ANY,,
C2,"0805, 1uF, 10V, X5R, 20%",C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,,tomu-fpga,,,,,ANY,ANY,ANY,,
U9,USB-B,USB-B,1,,tomu-fpga,,,DNP,PCB-etched USB pads,DNP,DNP,DNP,X,
U10,RGB-LED,LED-RGB-5DS-UHD1110-FKA,1,https://www.cree.com/led-components/media/documents/ds-UHD1110-FKA.pdf,tomu-fpga,,Citizen,N/A,,UHD1110-FKA,Cree,,,CL-505S-X-SD-T
R12,"0805, 22ohm, 1/16W, 1%",R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,,tomu-fpga,,,,,ANY,ANY,ANY,,
R11,"0805, 22ohm, 1/16W, 1%",R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,,tomu-fpga,,,,,ANY,ANY,ANY,,
R9,"0805, 1.5k, 1/16W, 1%",R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,,tomu-fpga,,,,,ANY,ANY,ANY,,
U6,MEMS Oscillator (DNP),MEMS-20005625B,1,http://ww1.microchip.com/downloads/en/DeviceDoc/20005625B.pdf,tomu-fpga,,,DSC6001HI2A-048.0000T-ND,MEMS OSC XO 48.0000MHZ CMOS SMD,DSC6001HI2A-048.0000T,Microchip,,X,
C4,"0805, 100nF, 10V, X5R, 20%",C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,,tomu-fpga,,,,,ANY,ANY,ANY,,
SW2,Captouch Pads,Touchpads,1,,tomu-fpga,,,DNP,PCB-etched captouch pads,DNP,DNP,DNP,X,
C23,"0805, 100nF, 10V, X5R, 20%",C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,,tomu-fpga,,,,,ANY,ANY,ANY,,
C22,"0805, 10uF, 10V, X5R, 20%",C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,,tomu-fpga,,,,,ANY,ANY,ANY,,
R10,"0805, 100ohm, 1/16W, 1%",R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,,tomu-fpga,,,,,ANY,ANY,ANY,,
R1,"0805, 10k, 1/16W",R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,,tomu-fpga,,,,,ANY,ANY,ANY,,
SW3,6,SPST-NO-Button,1,http://www.ckswitches.com/media/1467/pts525.pdf,tomu-fpga,,,CKN9104CT-ND,SWITCH TACTILE SPST-NO 0.02A 15V,PTS525SM15SMTR2 LFS,C&K,SW-PB-5X5-1.6,,
SW4,5,SPST-NO-Button,1,http://www.ckswitches.com/media/1467/pts525.pdf,tomu-fpga,,,CKN9104CT-ND,SWITCH TACTILE SPST-NO 0.02A 15V,PTS525SM15SMTR2 LFS,C&K,SW-PB-5X5-1.6,,
R8,"0805, 1.5k, 1/16W, 1%",R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,,tomu-fpga,,,,,ANY,ANY,ANY,,
R4,"0805, 10k, 1/16W (DNP)",R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,,tomu-fpga,,,DNP,,DNP,DNP,DNP,X,
R3,"0805, 10k, 1/16W",R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,,tomu-fpga,,,,,ANY,ANY,ANY,,
C21,"0805, 100nF, 10V, X5R, 20%",C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,,tomu-fpga,,,,,ANY,ANY,ANY,,
C20,"0805, 100nF, 10V, X5R, 20%",C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,,tomu-fpga,,,,,ANY,ANY,ANY,,
C18,"0805, 10nF, 10V, X5R, 20%",C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,,tomu-fpga,,,,,ANY,ANY,ANY,,
C17,"0805, 1uF, 10V, X5R, 20%",C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,,tomu-fpga,,,,,ANY,ANY,ANY,,
